persistence intervals in dim 0:
 [0,0.0923938)
 [0,0.126892)
 [0,0.161598)
 [0,0.176126)
 [0,0.192902)
 [0,0.200066)
 [0,0.203848)
 [0,0.206746)
 [0,0.209488)
 [0,0.219208)
 [0,0.224155)
 [0,0.228459)
 [0,0.229122)
 [0,0.238006)
 [0,0.238312)
 [0,0.242712)
 [0,0.248296)
 [0,0.266213)
 [0,0.266564)
 [0,0.270655)
 [0,0.279557)
 [0,0.280741)
 [0,0.281367)
 [0,0.282244)
 [0,0.284435)
 [0,0.285672)
 [0,0.285919)
 [0,0.287566)
 [0,0.287712)
 [0,0.289362)
 [0,0.292614)
 [0,0.29657)
 [0,0.299138)
 [0,0.300216)
 [0,0.300967)
 [0,0.304048)
 [0,0.304676)
 [0,0.306042)
 [0,0.306436)
 [0,0.310833)
 [0,0.312164)
 [0,0.312766)
 [0,0.313318)
 [0,0.316181)
 [0,0.317657)
 [0,0.317814)
 [0,0.321403)
 [0,0.328159)
 [0,0.331817)
 [0,0.331982)
 [0,0.333296)
 [0,0.334125)
 [0,0.334981)
 [0,0.338841)
 [0,0.340264)
 [0,0.341263)
 [0,0.341678)
 [0,0.342502)
 [0,0.344511)
 [0,0.344549)
 [0,0.349863)
 [0,0.351837)
 [0,0.354801)
 [0,0.355836)
 [0,0.356145)
 [0,0.357937)
 [0,0.357945)
 [0,0.357972)
 [0,0.359096)
 [0,0.359373)
 [0,0.359632)
 [0,0.362874)
 [0,0.363047)
 [0,0.365851)
 [0,0.365884)
 [0,0.3663)
 [0,0.368188)
 [0,0.369413)
 [0,0.377184)
 [0,0.377244)
 [0,0.377322)
 [0,0.381086)
 [0,0.381756)
 [0,0.383852)
 [0,0.383889)
 [0,0.38591)
 [0,0.386774)
 [0,0.388091)
 [0,0.389799)
 [0,0.393049)
 [0,0.394713)
 [0,0.397159)
 [0,0.399059)
 [0,0.404132)
 [0,0.405175)
 [0,0.40531)
 [0,0.406143)
 [0,0.40618)
 [0,0.407759)
 [0,0.408919)
 [0,0.410082)
 [0,0.410675)
 [0,0.413188)
 [0,0.413763)
 [0,0.416432)
 [0,0.417191)
 [0,0.41844)
 [0,0.420056)
 [0,0.420446)
 [0,0.422154)
 [0,0.423272)
 [0,0.424477)
 [0,0.427636)
 [0,0.428872)
 [0,0.431563)
 [0,0.432325)
 [0,0.432924)
 [0,0.434494)
 [0,0.434971)
 [0,0.43818)
 [0,0.441486)
 [0,0.445613)
 [0,0.446492)
 [0,0.451753)
 [0,0.454128)
 [0,0.460876)
 [0,0.461385)
 [0,0.461906)
 [0,0.462721)
 [0,0.462773)
 [0,0.464734)
 [0,0.46587)
 [0,0.466448)
 [0,0.467726)
 [0,0.467959)
 [0,0.468585)
 [0,0.468691)
 [0,0.469183)
 [0,0.470234)
 [0,0.471831)
 [0,0.472699)
 [0,0.475568)
 [0,0.478329)
 [0,0.48108)
 [0,0.484423)
 [0,0.484972)
 [0,0.487854)
 [0,0.488322)
